D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
STAD_99396	TGCT_62311	CHOL_3673	CESC_33549	GBM_49333	LGG_35574	PRAD_102987	SKCM_2230	CHOL_22053	LUAD_115062	MESO_38417	STAD_77839	GBM_61710	BRCA_127038	CESC_37133	PCPG_44181	CHOL_21042	CHOL_8320	LUAD_124741	THCA_15084	LUSC_5757	KIRC_29122	TGCT_15325	CESC_10573	ACC_19620
STAD_99633	BRCA_180528	CHOL_3572	HNSC_58480	TGCT_45226	BRCA_83626	PRAD_19036	SKCM_19769	LIHC_10188	LUAD_84893	CHOL_31686	ESCA_55687	GBM_70943	PRAD_59869	BLCA_78139	PCPG_29665	CHOL_54648	COAD_113269	PCPG_78163	THCA_36204	CESC_4790	SKCM_34912	BLCA_93038	CESC_1251	CHOL_21192
STAD_99603	CESC_46373	CESC_5194	ESCA_77545	GBM_49450	HNSC_40816	PRAD_48860	SKCM_62973	LIHC_26223	LUAD_100860	BRCA_100634	ESCA_56838	LGG_51873	PCPG_28340	BLCA_86688	PCPG_13388	KIRP_54805	COAD_85712	MESO_75765	THCA_10347	CESC_10597	MESO_25628	BLCA_81717	CESC_565	CESC_11952
STAD_99636	TGCT_61553	CHOL_4364	SKCM_64816	TGCT_45265	ESCA_51938	PRAD_95453	SKCM_880	LIHC_79437	LUAD_69731	CHOL_31419	ESCA_56630	LGG_46046	PRAD_79003	STAD_100020	PCPG_46965	KIRC_85249	COAD_13797	UCEC_42176	THCA_79085	LUSC_28824	LGG_26885	CESC_12792	CESC_54307	CESC_47689
BRCA_176078	CESC_46846	TGCT_4722	SKCM_64764	TGCT_45415	MESO_30658	LGG_33788	SKCM_3574	LIHC_62286	BLCA_41546	CHOL_31355	CHOL_14976	LGG_67692	BRCA_11297	BLCA_83209	PCPG_62999	KIRP_61457	COAD_63258	MESO_70318	THCA_31522	LUSC_29162	ACC_68931	CHOL_15053	CESC_39958	ACC_50003
STAD_99319	KIRP_119923	TGCT_7900	PCPG_51828	TGCT_47718	LGG_34584	PRAD_82350	SKCM_9365	KIRC_15338	LUAD_101254	TGCT_34710	ESCA_55611	GBM_53055	BRCA_21766	BLCA_1679	PCPG_34659	KIRC_29562	COAD_102924	BRCA_30559	THCA_37616	LUSC_30124	CESC_18876	KIRP_23133	CESC_29783	PCPG_75578
ESCA_105100	TGCT_62587	CHOL_3454	ESCA_77108	TGCT_47616	TGCT_30164	PRAD_26695	SKCM_83492	LIHC_99927	LUAD_9382	CHOL_31264	ESCA_83114	LGG_79435	BRCA_59584	BLCA_63837	GBM_68126	KIRP_109987	COAD_93403	TGCT_25370	THCA_72056	ESCA_61704	SKCM_34045	BLCA_81142	PRAD_59402	LIHC_15770
STAD_99320	TGCT_62347	CHOL_3625	BRCA_132779	TGCT_1612	LUSC_52919	PRAD_69840	SKCM_99568	LIHC_15619	LUAD_40342	TGCT_34384	ESCA_55804	LGG_26586	KIRC_29860	BLCA_88387	PCPG_82555	KIRP_89031	MESO_13432	SKCM_89366	THCA_9737	CESC_45950	ACC_26075	UCEC_43532	LGG_59985	CESC_22568
STAD_99390	KIRP_119833	CHOL_4760	SKCM_64723	TGCT_45668	LGG_36464	PRAD_75151	SKCM_91093	LIHC_26455	LUAD_7625	CHOL_32912	STAD_77761	LGG_66161	BRCA_57669	CHOL_3556	PCPG_75076	MESO_63274	COAD_101701	UCEC_13853	THCA_7049	CESC_13993	GBM_24242	CHOL_60692	PCPG_13281	CESC_16623
BRCA_175849	KIRP_117658	CHOL_4931	SKCM_64878	ACC_55707	ESCA_52455	PRAD_6620	SKCM_78189	LIHC_52817	LUAD_100443	CHOL_31119	ESCA_55683	GBM_4430	PRAD_36704	BLCA_86166	PCPG_78855	MESO_57856	COAD_5320	UCEC_90965	THCA_48710	LUSC_29673	SKCM_32624	GBM_14465	CESC_657	UCEC_58171
BRCA_176032	TGCT_61400	BLCA_6886	STAD_73312	MESO_51682	GBM_36113	PRAD_34951	SKCM_52482	LIHC_6520	STAD_46352	CHOL_31914	ESCA_55751	GBM_30228	BRCA_63543	STAD_99957	PCPG_79771	KIRC_79827	COAD_77654	HNSC_34332	THCA_7198	CESC_21780	BLCA_33110	BLCA_81143	CESC_54555	TGCT_14196
STAD_99427	TGCT_61932	CHOL_4158	SKCM_64759	HNSC_62693	TGCT_32543	PRAD_102729	PCPG_36319	LIHC_118479	LUAD_66925	SKCM_53190	CHOL_30355	LGG_48967	BRCA_57602	PCPG_62128	PCPG_80013	GBM_61563	COAD_83949	BRCA_114559	THCA_67956	LUSC_24109	CESC_18103	TGCT_14481	CESC_15628	CHOL_33827
STAD_99573	LGG_68163	CHOL_3888	SKCM_64663	TGCT_29633	GBM_34543	PRAD_100903	SKCM_14794	LIHC_14952	LUAD_68521	SKCM_51415	ESCA_56598	LGG_78229	BRCA_211468	MESO_64935	LGG_14069	MESO_63617	COAD_46072	SKCM_9713	THCA_80505	CESC_25659	CESC_17674	CESC_12004	ACC_66150	CESC_16232
STAD_99342	CESC_47329	CHOL_3612	ESCA_77007	TGCT_46678	HNSC_40684	PRAD_105680	SKCM_8946	LIHC_17128	LUAD_7058	LGG_40279	ESCA_82463	LGG_21485	BRCA_114863	BLCA_56324	PCPG_77175	KIRC_11850	COAD_53002	BRCA_119049	THCA_31269	CESC_26559	CESC_50672	BLCA_18912	CESC_1113	CHOL_19303
STAD_99598	BRCA_181056	CHOL_4476	SKCM_64703	CESC_37089	LGG_35196	PRAD_103667	SKCM_33474	LIHC_62627	CHOL_32656	SKCM_51277	CHOL_30432	LGG_36961	STAD_57215	BLCA_18944	PCPG_30772	KIRP_62842	COAD_83910	KIRP_49358	THCA_88272	LUSC_30120	ACC_85104	GBM_15717	CESC_31959	BRCA_29668
ESCA_105102	TGCT_63229	BLCA_8532	SKCM_64851	GBM_49412	TGCT_29834	PRAD_45828	SKCM_30529	LIHC_98961	LUAD_101358	CHOL_32803	STAD_50036	LGG_64820	SKCM_58299	BLCA_50672	PCPG_76396	PRAD_63739	COAD_37693	TGCT_6842	THCA_44172	LUSC_28553	KIRC_29759	CHOL_12814	CESC_115	KIRP_20037
ESCA_105137	BRCA_180421	TGCT_5798	ESCA_77548	TGCT_50281	TGCT_31351	PRAD_1406	SKCM_51063	LIHC_22677	LUAD_101393	STAD_53184	ESCA_82212	LGG_13321	PRAD_40121	BLCA_99274	PCPG_76340	KIRP_114414	COAD_106890	KIRP_49641	THCA_41951	CESC_5652	ACC_22668	BLCA_41747	CESC_31056	CESC_16553
STAD_99291	TGCT_63126	CESC_5329	BRCA_133459	GBM_49448	CESC_24732	PRAD_48550	SKCM_100312	LIHC_26382	LUAD_17327	CHOL_31800	ESCA_55688	LGG_18620	LGG_1643	BLCA_86138	PCPG_59261	CHOL_8156	COAD_115494	UCEC_53661	THCA_72531	LUSC_30423	ACC_72003	BLCA_80868	CESC_54975	CESC_3433
BRCA_175474	CESC_47140	CHOL_3371	KIRP_85339	TGCT_47688	TGCT_28151	PRAD_87737	SKCM_6730	LIHC_11686	LUAD_101622	BRCA_100630	ACC_40394	LGG_62586	BRCA_166849	BLCA_103657	PCPG_76338	KIRP_37902	COAD_85042	BRCA_190211	THCA_44374	CESC_51554	MESO_24456	SKCM_18960	CESC_49436	LIHC_64041
STAD_99585	TGCT_63061	CHOL_5918	SKCM_65215	TGCT_45899	TGCT_29290	PRAD_28877	SKCM_8664	LIHC_43238	LUAD_22023	TGCT_34699	ESCA_55617	GBM_18964	BRCA_100397	BLCA_56460	PCPG_60377	KIRP_88756	COAD_114967	ESCA_48058	THCA_18911	HNSC_45489	SKCM_36253	TGCT_28592	CESC_15603	CESC_9772
STAD_99602	LGG_68672	CHOL_4453	HNSC_58451	TGCT_46751	GBM_33644	PRAD_77161	SKCM_37753	LIHC_60174	LUSC_57761	CHOL_31178	ESCA_82387	LGG_76733	BRCA_100723	SKCM_85363	PCPG_36362	KIRC_19256	HNSC_70377	UCEC_58929	THCA_45184	CESC_14218	KIRC_28722	SKCM_18999	TGCT_42356	STAD_104130
STAD_99315	TGCT_62655	CESC_5540	SKCM_64746	TGCT_48446	LUSC_52890	PRAD_57689	SKCM_6558	LIHC_54076	LUAD_112073	STAD_56345	ESCA_55557	LGG_64513	BRCA_166620	BLCA_103507	PCPG_82791	KIRC_72580	COAD_20254	UCEC_58574	THCA_79825	CESC_33294	TGCT_23095	BLCA_81756	PCPG_85127	CHOL_40261
STAD_99314	HNSC_79324	CHOL_3960	SKCM_64928	TGCT_45638	ACC_38706	PRAD_85803	SKCM_58146	LIHC_63366	LUAD_76916	CHOL_32689	STAD_50099	GBM_26897	BRCA_202849	BLCA_43964	PCPG_46987	CHOL_53224	COAD_21604	UCEC_41106	THCA_30635	ESCA_77827	CESC_19652	BLCA_81757	CESC_11070	LIHC_21773
STAD_99257	BRCA_178922	CHOL_3682	SKCM_65197	TGCT_62141	KIRC_39821	PRAD_44529	SKCM_16671	LIHC_103977	LUAD_64133	LUAD_70530	STAD_77712	GBM_39291	STAD_56644	BLCA_61914	LGG_74849	KIRC_10260	COAD_45887	CESC_29485	THCA_58376	CESC_14955	MESO_25716	SKCM_21613	CESC_10896	CESC_31757
ESCA_105128	TGCT_62037	CHOL_3911	STAD_73436	TGCT_47611	MESO_31163	TGCT_2867	SKCM_33276	LIHC_114109	LUAD_73439	PCPG_41059	ESCA_56878	LGG_69048	BRCA_159632	CESC_42025	PCPG_60376	UCEC_61781	MESO_27997	UCEC_13158	THCA_26096	ESCA_77850	CESC_18447	CHOL_60697	COAD_69116	CESC_16652
STAD_99420	TGCT_62507	GBM_4492	STAD_73696	TGCT_46184	LUSC_52965	PRAD_81753	SKCM_76226	LIHC_114138	LUAD_101323	CHOL_32243	ESCA_55667	LGG_1642	BRCA_203081	BLCA_6844	PCPG_47867	KIRP_61772	STAD_74224	BRCA_71554	THCA_55120	CESC_13953	MESO_24773	GBM_14646	MESO_40517	CHOL_38034
ESCA_105095	MESO_67665	CESC_4638	STAD_73232	TGCT_47546	TGCT_29302	PRAD_18595	SKCM_37297	LIHC_78343	LUAD_39668	SKCM_50352	ESCA_83012	LGG_4909	BRCA_110284	CESC_41095	CHOL_53132	CHOL_53644	STAD_111440	HNSC_26948	THCA_4562	CESC_2469	ACC_27090	CHOL_13995	CESC_15741	CESC_27154
STAD_99650	BRCA_177900	CHOL_4593	ESCA_77544	TGCT_45077	BRCA_83690	PRAD_23458	SKCM_21295	LIHC_92342	LUAD_39200	MESO_38471	ESCA_83019	LGG_67725	BRCA_187743	BLCA_87635	ACC_84903	KIRC_58424	BRCA_200939	TGCT_15877	THCA_22897	HNSC_62707	CHOL_21149	BLCA_81207	CESC_15564	TGCT_19101
STAD_99355	SKCM_87711	CESC_5184	STAD_73684	TGCT_47309	ESCA_51897	PRAD_69230	SKCM_37118	LIHC_63319	PRAD_10177	TGCT_34809	ESCA_55661	GBM_24405	PCPG_62772	STAD_99110	PCPG_66900	KIRC_55703	COAD_34798	LGG_39717	THCA_66506	LUSC_28971	MESO_24417	GBM_14796	CESC_131	CHOL_37615
BRCA_176314	KIRP_119619	CHOL_3890	PCPG_51812	TGCT_46371	TGCT_30101	PRAD_97847	SKCM_27598	LIHC_7396	THCA_57466	BRCA_97463	ESCA_82696	LGG_5011	BRCA_98680	BLCA_6843	PCPG_76360	STAD_99060	COAD_120706	CHOL_8522	THCA_89237	LUSC_29220	SKCM_34678	BLCA_18896	CESC_1323	ACC_14748
BRCA_176069	TGCT_61555	CHOL_3910	ESCA_77052	TGCT_65647	STAD_47595	PRAD_107514	SKCM_37134	LIHC_60657	LUAD_101841	MESO_38488	STAD_49977	GBM_69479	BRCA_4367	BLCA_87319	PCPG_76547	KIRC_10254	STAD_945	BRCA_105895	THCA_33691	CESC_5893	KIRC_27092	CESC_12366	PCPG_119	CESC_9654
BRCA_176448	KIRP_119844	CHOL_7292	ESCA_77923	TGCT_45308	LGG_35567	PRAD_30781	SKCM_74225	MESO_69911	LUAD_101217	BRCA_100830	CHOL_60724	LGG_10537	THCA_50766	ACC_14022	PCPG_46820	ACC_12889	STAD_85337	HNSC_3935	THCA_71350	ESCA_57627	CHOL_22086	BLCA_18872	BLCA_90682	TGCT_11067
BRCA_176057	TGCT_62299	KIRC_5697	SKCM_64864	TGCT_49669	TGCT_32029	PRAD_43185	SKCM_64500	LIHC_43414	ACC_22312	CHOL_32948	ESCA_55745	LGG_4258	LUSC_41973	BLCA_77351	PCPG_31000	MESO_34593	CESC_14040	KIRC_9075	THCA_30463	CESC_14866	SKCM_34243	GBM_15618	PCPG_76067	CESC_30563
STAD_99397	TGCT_62891	CHOL_3742	STAD_73188	TGCT_45772	HNSC_40750	PRAD_103001	SKCM_80297	LUAD_64977	LUAD_69156	MESO_37206	ACC_40081	LGG_35608	BRCA_159538	BLCA_85478	PCPG_76330	MESO_63584	COAD_115338	BRCA_192133	THCA_74950	HNSC_22512	SKCM_34258	CESC_11174	COAD_62213	CESC_2605
STAD_99386	BRCA_180007	CHOL_3446	ESCA_77584	TGCT_47333	BLCA_41896	PRAD_74986	SKCM_2005	LIHC_3738	LUAD_101574	TGCT_35006	ESCA_56557	GBM_4909	BRCA_186319	ESCA_89131	PCPG_45178	KIRP_115355	HNSC_11181	THCA_27080	THCA_38427	CESC_42133	ACC_27111	TGCT_14293	CHOL_39569	CESC_38070
STAD_99328	TGCT_61683	TGCT_6897	SKCM_64698	TGCT_32326	GBM_34527	PRAD_103714	SKCM_53242	KIRC_9739	LUAD_23078	LUAD_66827	ESCA_55516	LGG_18594	BRCA_197117	BLCA_16240	PCPG_66069	KIRC_72660	COAD_43026	BRCA_10947	THCA_38810	CESC_15110	SKCM_34513	BLCA_18900	LGG_1152	CESC_15792
STAD_99326	TGCT_61907	CHOL_6431	HNSC_58341	TGCT_65451	ACC_37600	PRAD_2046	SKCM_52727	LIHC_12971	CHOL_32706	TGCT_34993	CHOL_14974	LGG_5186	BLCA_11132	BLCA_86131	PCPG_50544	KIRP_62012	STAD_9127	BRCA_15552	THCA_67019	CESC_10366	LGG_25372	BLCA_11489	CESC_44476	CHOL_34929
STAD_99292	KIRP_117610	TGCT_7279	HNSC_57780	TGCT_47395	STAD_47489	MESO_19898	SKCM_62452	LIHC_15554	LUAD_121148	MESO_38355	ESCA_55724	PCPG_27098	BRCA_64515	BLCA_1863	PCPG_10654	KIRP_43413	COAD_49310	PRAD_3371	THCA_12549	CESC_13959	ACC_61480	BLCA_11507	LGG_21275	TGCT_3029
STAD_99424	TGCT_61582	CESC_5494	STAD_73644	TGCT_46512	ESCA_52993	PRAD_97485	SKCM_39661	LIHC_104701	LUAD_60648	STAD_53346	ESCA_82137	GBM_59810	BRCA_165690	STAD_100037	PCPG_21807	LGG_33342	CHOL_49040	CHOL_16110	THCA_54391	STAD_99960	ACC_22084	BLCA_93018	CESC_30867	SKCM_20942
STAD_99547	KIRP_117354	CHOL_3724	ESCA_77850	TGCT_65617	TGCT_29932	PRAD_20193	SKCM_79560	LIHC_100253	CESC_4161	CHOL_33054	ESCA_55563	LGG_31232	BLCA_20831	BLCA_86689	PCPG_79011	KIRP_111283	COAD_60888	UCEC_13860	THCA_70114	LUSC_28016	ACC_25275	SKCM_20623	CESC_28542	SKCM_20916
STAD_99316	BRCA_180203	CHOL_3791	STAD_73641	TGCT_46145	TGCT_32918	PRAD_102740	SKCM_52665	LIHC_7571	LUAD_101696	TGCT_34812	ESCA_82924	GBM_53107	KIRC_55837	BLCA_97836	PCPG_40808	KIRC_71973	STAD_338	UCEC_12098	THCA_48411	LUSC_29211	CESC_17551	ACC_70168	TGCT_27219	CHOL_2521
STAD_99303	SKCM_86727	CHOL_5640	STAD_73305	TGCT_65648	CHOL_29360	PRAD_16417	SKCM_37189	LIHC_14211	LUAD_101692	CHOL_31600	STAD_77720	LGG_31064	BRCA_12932	BLCA_22422	PCPG_76292	KIRP_40376	COAD_57313	HNSC_51696	THCA_67295	LUSC_30946	CESC_17899	GBM_15113	CESC_85	CHOL_35414
STAD_99317	TGCT_62305	CHOL_4403	STAD_73625	TGCT_48636	TGCT_31789	PRAD_57325	SKCM_8136	CHOL_54205	LIHC_14272	CHOL_32830	ESCA_57045	LGG_24316	BRCA_99942	BLCA_55336	PCPG_63576	KIRP_118307	COAD_84952	BRCA_191564	MESO_23524	CESC_15350	ACC_23477	TGCT_14194	CESC_41581	HNSC_25559
STAD_99449	TGCT_61873	BLCA_6738	ESCA_77587	TGCT_29380	GBM_35323	PRAD_24865	SKCM_50945	LIHC_99804	LUAD_110568	TGCT_35049	ESCA_83047	GBM_3191	GBM_14472	BLCA_22874	BRCA_204573	KIRC_14276	COAD_15951	BRCA_191325	THCA_47301	CESC_14954	ACC_24667	BLCA_41356	STAD_26765	SKCM_20153
STAD_99369	TGCT_61725	CHOL_6574	PRAD_67795	TGCT_28028	LGG_33642	PRAD_37486	SKCM_80683	LIHC_75520	LUAD_50425	MESO_37349	ESCA_82985	LGG_30990	BRCA_22162	BRCA_163274	PCPG_60385	KIRP_67853	COAD_4254	PCPG_13430	THCA_38951	ESCA_29381	ACC_61322	SKCM_19718	CESC_47591	CESC_39378
BRCA_175826	MESO_65861	CHOL_3716	SKCM_64588	TGCT_45417	ESCA_52607	PRAD_68826	SKCM_48589	LIHC_9553	LUAD_72503	CHOL_31906	ESCA_118368	LGG_52143	PRAD_19523	CESC_54133	PCPG_49308	KIRP_56057	STAD_28702	BRCA_22772	THCA_1485	ESCA_60340	MESO_23512	CESC_43989	CESC_1464	CESC_3118
BRCA_175838	CESC_46483	CHOL_6269	BRCA_132829	GBM_50281	KIRC_38228	PRAD_67325	SKCM_857	ACC_6194	LUAD_16032	CHOL_33053	ESCA_55686	GBM_23988	BRCA_40552	BLCA_6856	PCPG_47017	KIRP_129618	COAD_60123	BRCA_117899	THCA_12770	CESC_14970	SKCM_34825	CESC_12016	CESC_48526	CHOL_10482
ESCA_105091	LGG_69691	CHOL_4631	LGG_49846	TGCT_69950	TGCT_28654	PRAD_107184	SKCM_569	LIHC_113635	LUAD_54088	CHOL_33080	ACC_39283	LGG_22255	PRAD_87087	BLCA_6853	PCPG_13473	LGG_34656	COAD_49006	LGG_44927	THCA_18070	CESC_51550	ACC_27598	BLCA_80742	CESC_54656	CESC_560
BRCA_176105	KIRP_119863	CHOL_3336	ESCA_77608	GBM_49600	CHOL_28890	PRAD_78608	SKCM_99241	CHOL_13441	ACC_63689	CHOL_32949	ESCA_55616	GBM_4484	THCA_16643	CESC_45496	PCPG_3880	KIRP_129597	COAD_40316	PRAD_107028	THCA_75455	BLCA_88645	MESO_25769	CHOL_7475	KIRC_53760	BLCA_11732
BRCA_175489	TGCT_61376	CHOL_6692	SKCM_65153	STAD_76865	GBM_34898	PRAD_3469	SKCM_76798	LIHC_20039	LUAD_57196	CHOL_32674	ESCA_56834	LGG_20998	BRCA_20011	STAD_99971	PCPG_62044	MESO_76838	CHOL_59416	BRCA_101142	THCA_16130	CESC_5640	MESO_24951	CESC_13380	CESC_49637	CESC_27162
STAD_99266	KIRP_117541	CHOL_3390	STAD_73388	GBM_52404	ESCA_52726	PRAD_61043	SKCM_78989	LIHC_7325	LUAD_72185	MESO_38540	SKCM_49069	LGG_79184	BRCA_164523	CESC_868	PCPG_76372	SKCM_87810	HNSC_81881	CESC_5843	THCA_22635	LUSC_26454	ACC_25264	BLCA_11552	CESC_45	COAD_62059
STAD_99421	TGCT_62562	CHOL_3264	ESCA_77765	CHOL_43498	GBM_33277	PRAD_95602	SKCM_26383	LIHC_79545	TGCT_52357	MESO_38517	STAD_77723	GBM_73405	PRAD_108955	CESC_43627	PCPG_26762	CHOL_51517	COAD_73392	SKCM_58070	THCA_45428	CESC_14372	MESO_24232	BLCA_81758	CHOL_28	CESC_27361
BRCA_175699	CESC_46658	TGCT_4353	ESCA_77946	TGCT_46752	GBM_35640	PRAD_14597	SKCM_31054	LIHC_81886	LUAD_66882	MESO_36919	CHOL_63472	LGG_55481	UCEC_19221	BLCA_90559	PCPG_64987	KIRC_13891	COAD_8298	UCEC_86872	THCA_50343	CESC_13868	ACC_86806	GBM_31737	TGCT_52913	KIRP_33060
LIHC_100934	BRCA_180604	TGCT_4789	BRCA_131202	TGCT_46994	TGCT_33067	PRAD_67538	SKCM_15946	LIHC_111608	BLCA_6576	LGG_40183	ESCA_56609	LGG_53999	BRCA_94627	CHOL_44747	PCPG_79318	PCPG_31922	COAD_47770	GBM_69610	THCA_37714	LUSC_29593	ACC_27892	CESC_13289	TGCT_68235	GBM_50414
STAD_99382	CESC_47399	CHOL_4781	SKCM_65304	TGCT_47423	TGCT_29458	PRAD_12211	SKCM_21141	LIHC_46249	LUAD_40348	SKCM_53907	ESCA_64163	LGG_51398	BRCA_159763	THCA_79773	PCPG_22516	KIRP_61754	COAD_18615	COAD_13170	THCA_18193	LUSC_30925	KIRC_28481	BLCA_81306	CESC_29328	CESC_9245
STAD_99416	MESO_65842	CHOL_5776	STAD_73341	TGCT_29819	LGG_34961	PRAD_65073	SKCM_7429	LIHC_113371	THCA_66386	CHOL_31314	ESCA_55621	LGG_4950	BRCA_176840	BLCA_97877	PCPG_58780	SKCM_42293	STAD_99019	PCPG_9620	THCA_10365	LUSC_28163	SKCM_34729	BLCA_11788	CESC_81	LIHC_26546
BRCA_176290	BRCA_180935	CHOL_3205	STAD_73223	GBM_51327	CESC_24076	PRAD_38027	SKCM_1738	LIHC_61445	LUAD_76346	BRCA_97587	BRCA_94987	LGG_79134	LIHC_18205	BLCA_85724	PCPG_77984	KIRP_11391	ESCA_51118	MESO_70346	UCEC_5701	LUSC_30941	ACC_24066	TGCT_58295	STAD_872	CESC_37669
BRCA_176411	KIRP_119974	CHOL_3188	ESCA_77132	TGCT_46491	TGCT_27876	PRAD_55656	SKCM_96142	LIHC_42608	LUAD_101109	MESO_38541	ESCA_55725	GBM_60426	BRCA_212764	BLCA_46146	PCPG_46597	KIRC_79619	COAD_56301	HNSC_45142	THCA_36234	LUSC_27277	ACC_68973	GBM_14722	TGCT_3270	CESC_32101
BRCA_175984	TGCT_61877	CHOL_4323	ESCA_77024	ESCA_82631	TGCT_30450	PRAD_103008	CHOL_2920	LIHC_61932	LUAD_111270	CHOL_33135	LUAD_63435	LGG_6305	BRCA_154164	BLCA_68997	PCPG_83623	CHOL_52843	ESCA_15198	SKCM_10861	THCA_23322	LUSC_25786	ACC_78472	BLCA_81255	ESCA_119854	CESC_28379
STAD_99385	TGCT_62162	CESC_5796	SKCM_64753	TGCT_45563	KIRP_59599	PRAD_97790	SKCM_5666	LIHC_62771	PCPG_6879	CHOL_32974	ESCA_56508	LGG_35742	SKCM_50344	CESC_38	PCPG_11444	KIRC_78845	COAD_53366	BRCA_127903	THCA_1238	LUSC_29605	CESC_17799	LUSC_105764	CESC_47599	TGCT_70332
BRCA_175950	BRCA_178205	CHOL_3430	SKCM_64835	MESO_55987	ESCA_52139	PRAD_69153	SKCM_44572	LIHC_15620	LUAD_101313	CHOL_31316	LUAD_91432	LGG_55640	LUSC_54102	STAD_100021	PCPG_75168	KIRP_118784	COAD_111737	UCEC_39060	THCA_70505	CESC_27015	SKCM_34254	BLCA_81190	CHOL_33653	CHOL_33446
STAD_99409	TGCT_63104	CHOL_4859	HNSC_58358	GBM_49386	HNSC_40712	PRAD_41829	SKCM_8663	LIHC_2568	LUAD_91865	LUAD_68201	LUAD_91661	LGG_25529	BRCA_105139	BLCA_26328	PCPG_61605	KIRP_112761	COAD_84133	PRAD_30882	THCA_62996	CESC_20900	ACC_84306	SKCM_19031	CESC_15580	CESC_1685
BRCA_176064	KIRP_119540	CHOL_7296	STAD_73036	MESO_54331	TGCT_32302	PRAD_38685	SKCM_52396	KIRC_28856	LUAD_54652	CHOL_32852	STAD_76344	LGG_25125	BRCA_102984	CESC_7565	LGG_44516	KIRC_3279	COAD_33436	BRCA_99036	THCA_12377	CESC_24604	ACC_22952	BLCA_81730	PCPG_62162	CHOL_10650
STAD_99410	SKCM_87670	CHOL_3269	BRCA_131328	SKCM_69269	HNSC_40820	PRAD_5930	SKCM_52902	LIHC_87708	CESC_38745	CHOL_31515	ESCA_57048	LGG_43448	LIHC_1091	BLCA_1280	PCPG_68376	KIRC_12908	COAD_118336	BRCA_68755	THCA_3283	CESC_14869	MESO_25552	ACC_14520	CESC_15971	TGCT_14820
BRCA_176214	TGCT_62172	CHOL_3199	SKCM_64675	LUAD_92103	TGCT_27855	PRAD_98238	SKCM_100016	LIHC_42315	THCA_66889	TGCT_34844	STAD_77837	LGG_64646	BRCA_104044	CESC_1155	PCPG_13484	CESC_44800	COAD_43382	BRCA_29711	THCA_48833	LUSC_29256	CESC_18062	TGCT_58745	CESC_43727	CHOL_58616
ESCA_105090	BRCA_182123	KIRP_6476	SKCM_64989	TGCT_46968	TGCT_27704	PRAD_36396	SKCM_75722	LIHC_9672	LUAD_101530	SKCM_51400	STAD_77747	LGG_16223	BRCA_17608	HNSC_71754	PCPG_13236	PCPG_55510	KIRP_49089	BRCA_8514	THCA_68142	LUSC_27195	ACC_85757	TGCT_14683	CESC_1927	CESC_36593
BRCA_176162	KIRP_117737	CHOL_4655	STAD_73300	TGCT_45782	GBM_35339	PRAD_1649	SKCM_49684	LIHC_60846	THCA_43714	UCEC_53469	ESCA_55729	LGG_63062	BRCA_188712	CESC_45911	PCPG_81239	STAD_73250	COAD_102441	MESO_28174	THCA_42097	LUSC_28702	SKCM_32687	SKCM_19555	CHOL_58827	ACC_14877
STAD_99302	BRCA_181569	TGCT_5850	STAD_73040	TGCT_49214	ESCA_52411	PRAD_752	SKCM_64840	LIHC_41175	COAD_59250	LUAD_66806	STAD_50161	LGG_4821	BRCA_97771	THCA_79562	PCPG_30146	KIRP_43607	COAD_14388	BRCA_81674	THCA_83377	HNSC_8304	ACC_81562	TGCT_14809	CESC_457	CESC_47592
STAD_99632	CHOL_56900	CHOL_3811	STAD_74061	GBM_49178	ESCA_52203	PRAD_14926	PCPG_32708	LIHC_46265	LUAD_40669	MESO_37635	STAD_77714	LGG_29810	BRCA_19182	BLCA_66422	CHOL_38201	SKCM_87632	COAD_1597	BRCA_22774	THCA_22906	LUSC_26502	ACC_25652	SKCM_19741	PRAD_593	CESC_19156
STAD_99350	CESC_46589	CHOL_5635	SKCM_64704	TGCT_58415	LUSC_52937	ACC_65096	SKCM_64370	LIHC_62642	LUAD_64188	SKCM_53670	ESCA_55732	LGG_5016	BRCA_44900	THCA_5910	PCPG_76641	KIRC_75409	COAD_92061	TGCT_65343	THCA_89346	BLCA_5973	MESO_22444	SKCM_18983	TGCT_70810	TGCT_21913
STAD_99249	LGG_69635	TGCT_5865	STAD_73665	TGCT_47434	TGCT_30324	PRAD_107855	SKCM_63533	LIHC_110459	LUAD_101330	CHOL_32502	ESCA_55515	LGG_34972	BRCA_203334	BLCA_85964	PCPG_34168	KIRC_35622	COAD_4589	BRCA_193815	THCA_24487	LUSC_25812	KIRC_30384	LGG_15498	CESC_39820	LIHC_100015
